,,,,,,,,,,,,,,,,,,,,,,QT 2000 MPN,,QT-51 WELL MPN,
,,,,,,,Human,,Birds,,Dog,Muskrat,Ruminants,Acrobacter,Salmonella,Campylobacter,Enteroccocus ,STX1,STX2,Culture Arco,,TC Colilert ,EC Colilert,Enterolert,10 mL FC
,,,,,,,HF183,HumM2,CGO1,LeeSg,Dog3,MuBac,Rum2bac,Abutz hsp60,InvA,VD16S,Calibrator ,Shigatoxin 1,Shigatoxin 2,,,total coliforms,E. Coli,,thermotolerant colifroms
Date ,Date Sampled,Week ,Pond,Location,Sample ID,Rainfall (MM),Copies per 100 ml,,,,,,,,,,Cell Eqivalents (CCEs),,,,,,,,fecal coliforms
May 23 2017,5/23/17,Week 3,Country Hills,Inlet WP31B,33232,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,57,No,No,,,120,9,9,NIL
May 23 2017,5/23/17,Week 3,Inverness,Outfall WP26B,33233,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,115,No,No,,,19,2,2,NIL
May 23 2017,5/23/17,Week 3,McCall_Lake,Inlet 3/4,33234,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,21,No,No,,,326,1,<1,NIL
May 23 2017,5/23/17,Week 3,Country Hills,Outfall WP31C,33235,0,4260,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,155,No,No,,,436,41,4,50
May 23 2017,5/23/17,Week 3,Inverness,Outfall WP26D,33236,0,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,1229,No,No,,,79,11,1,NIL
May 23 2017,5/23/17,Week 3,Inverness,Outfall WP26C,33237,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,202,No,No,,,18,NIL,<1,NIL
May 23 2017,5/23/17,Week 3,Inverness,Outfalls/inlet,33238,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,283,Not tested,Not tested,,,55,12,4,10
May 23 2017,5/23/17,Week 3,Country Hills,Outfall WP31D,33239,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,884,No,No,,,1204,3,3,NIL
May 25 2017,5/25/17,Week 3,Inverness,Outfall WP26D,33648,1,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,653,No,No,,,517,28,10,NIL
May 25 2017,5/25/17,Week 3,Country Hills,Outfall WP31C,33649,1,DNQ,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,727,No,No,,,more than 2419.6,687,>201,>600
May 25 2017,5/25/17,Week 3,McCall_Lake,Outfall ML1,33650,1,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,541,No,Yes - CT 24.43,,,2420,162,51,280
May 25 2017,5/25/17,Week 3,Inverness,Outfalls/inlet,33651,1,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,6705,Yes - CT 38.19,No,,,more than 2419.6,144,21,130
May 25 2017,5/25/17,Week 3,Inverness,Outfall WP26B,33951,1,not detected,not detected,74232,not detected,not detected,not detected,not detected,not detected,not detected,not detected,482,No,No,,,1046,29,9,80
May 25 2017,5/25/17,Week 3,Country Hills,Outfall WP31D,33952,1,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,285,No,No,,,more than 2419.6,461,201,310
May 25 2017,5/25/17,Week 3,Country Hills,Inlet WP31B,33953,1,DNQ,not detected,not detected,not detected,not detected,not detected,DNQ,2070.6,not detected,not detected,4047,No,No,,,2420,238,109,170
May 25 2017,5/25/17,Week 3,McCall_Lake,Inlet 3/4,33954,1,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1018,No,No,,,more than 2419.6,388,201,320
May 25 2017,5/25/17,Week 3,Country Hills,Inlet WP31A,33955,1,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,15659,No,No,,,more than 2419.6,102,56,90
May 25 2017,5/25/17,Week 3,Country Hills,Outfall WP31E,33956,1,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,902,No,No,,,more than 2419.6,96,43,170
May 25 2017,5/25/17,Week 3,McCall_Lake,Outfall ML2,33957,1,DNQ,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,896,No,No,,,more than 2419.6,366,>201,350
May 25 2017,5/25/17,Week 3,McCall_Lake,Inlet PR60,33958,1,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,10669,No,No,,,more than 2419.6,388,51,440
May 25 2017,5/25/17,Week 3,Inverness,Outfall WP26C,33959,1,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,1067,No,No,,,1046,27,40,21
May 30 2017,5/30/17,Week 4 ,Country Hills,Inlet WP31B,34824,0,23184,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,87,No,No,,,more than 2419.6,36,3,60
May 30 2017,5/30/17,Week 4 ,Country Hills,Outfall Wp31A,34825,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,17,No,No,,,more than 2419.6,1,3,<10
May 30 2017,5/30/17,Week 4 ,Country Hills,Outfall WP31E,34826,0,21216.6,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,17,No,No,,,more than 2419.6,7,2,10
May 30 2017,5/30/17,Week 4,Country Hills,Outfall WP31D,34827,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,138,No,No,,,more than 2419.6,1,1,<10
May 30 2017,5/30/17,Week 4,Country Hills,Outfall WP31C,34828,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,227,No,No,,,more than 2419.6,41,18,40
May 30 2017,5/30/17,Week 4,McCall_Lake,Outfall ML2,34829,0,18616.2,22036.2,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1721,No,No,,,more than 2419.6,308,70,170
May 30 2017,5/30/17,Week 4,McCall_Lake,Inlet PR60,34830,0,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,232,No,No,,,53,1,<1,<10
