,,,,,,,,,,,,,,,,,,,,,QT 2000 MPN,,QT-51 WELL MPN,
,,,,,,Human,,Birds,,Dog,Muskrat,Ruminants,Acrobacter,Salmonella,Campylobacter,Enteroccocus ,STX1,STX2,Culture Arco,,TC Colilert ,EC Colilert,Enterolert,10 mL FC
,,,,,,HF183,HumM2,CGO1,LeeSg,Dog3,MuBac,Rum2bac,Abutz hsp60,InvA,VD16S,Calibrator ,Shigatoxin 1,Shigatoxin 2,,,total coliforms,E. Coli,,thermotolerant colifroms
Date Sampled,Week ,Pond,Location,Sample ID,Rainfall,Copies per 100 ml,,,,,,,,,,Cell Eqivalents (CCEs),,,,,,,,fecal coliforms
May 19 2017,,McCall Lake,Inlet 3/4,31942,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,519,No,No,,,308,49,8,40
,,McCall Lake,Inlet PR60,31943,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1406,No,No,,,207,38,4,30
,,McCall Lake,Pond outfall ML2,31944,,11964,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,926,No,No,,,1554,77,32,150
,,Country Hills,Outfall WP31A,31945,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,159,No,No,,,411,19,1,10
,,Inverness,Outfalls Inlet,31946,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,4630,No,No,,,1733,3,3,less than 10
,,Country Hills,Outfall WP31E,31947,,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,258,No,No,,,388,28,6,10
,,McCall Lake,Outfall ML1,31948,,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1780,No,No,,,379,46,8,70
,,Country Hills,Outfall WP31D,31949,,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,214,Not tested,Not tested,,,981,11,NIL,20
,,Inverness,Outfall WP26B,31950,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,276,No,No,,,69,less than 1,5,20
,,Country Hills,Inlet WP31B,31951,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,156,No,No,,,326,11,more than 201,10
,,Country Hills,Outfall WP31C,31952,,not detected,DNQ,not detected,not detected,not detected,5898,not detected,not detected,not detected,not detected,578,Not tested,Not tested,,,1047,136,14,140
,,Inverness,Outfall WP26D,31953,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,251,Not tested,Not tested,,,28.5,less than 1,nil,less than 10
,,Not avail.,Not avail.,Blank Week 2,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,7,,,,,,,,
May 23 2017,Week 3 Calgary,Country Hills,Outfall WP31E,33227,10 mm,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,206,Not tested,Not tested,,,981,2,<1,10
,,McCall Lake,inlet pr60,33228,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,98,No,No,,,67,2,1,NIL
,,McCall Lake,Outfall ML2,33229,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,778,No,No,,,more than 2419.6,49,22,180
,,Country Hills,Outfall WP31A,33230,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,41,No,No,,,136,4,2,NIL
,,McCall Lake,Outfall Ml1,33231,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,138,No,No,,,63,2,10,1
,,country Hills,Inlet WP31B,33232,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,57,No,No,,,120,9,9,NIL
,,inverness,outfall WP26B,33233,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,115,No,No,,,19,2,2,NIL
,,McCall Lake,Inlet 3/4,33234,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,21,No,No,,,326,1,<1,NIL
,,Country Hills,outfall WP31C,33235,,4260,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,155,No,No,,,436,41,4,50
,,inverness,outfall WP26D,33236,,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,1229,No,No,,,79,11,1,NIL
,,inverness,outfall WP26C,33237,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,202,No,No,,,18,NIL,<1,NIL
,,inverness,outfalls/inlet,33238,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,283,Not tested,Not tested,,,55,12,4,10
,,Country Hills,Outfall WP31D,33239,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,884,No,No,,,1204,3,3,NIL
May 25 2017,,Inverness,Outfall WP26D,33648,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,653,No,No,,,517,28,10,NIL
,,Country Hills,Outfall WP31C,33649,,DNQ,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,727,No,No,,,more than 2419.6,687,>201,>600
,,McCall Lake,Outfall Ml1,33650,,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,541,No,Yes - CT 24.43,,,2420,162,51,280
,,Inverness,Outfalls/inlet,33651,,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,6705,Yes - CT 38.19,No,,,more than 2419.6,144,21,130
,,inverness,Outfall WP26B,33951,,not detected,not detected,74232,not detected,not detected,not detected,not detected,not detected,not detected,not detected,482,No,No,,,1046,29,9,80
,,Country Hills,Outfall WP31D,33952,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,285,No,No,,,more than 2419.6,461,201,310
,,Country Hills,Inlet WP31B,33953,,DNQ,not detected,not detected,not detected,not detected,not detected,DNQ,2070.6,not detected,not detected,4047,No,No,,,2420,238,109,170
,,mcCall Lake,Inlet 3/4,33954,,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1018,No,No,,,more than 2419.6,388,201,320
,,Country Hills,Inlet WP31A,33955,,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,15659,No,No,,,more than 2419.6,102,56,90
,,country Hills,Outfall WP31E,33956,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,902,No,No,,,more than 2419.6,96,43,170
,,mcCall Lake,Outfall Ml2,33957,,DNQ,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,896,No,No,,,more than 2419.6,366,>201,350
,,McCall Lake,Inlet PR60,33958,,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,10669,No,No,,,more than 2419.6,388,51,440
,,Inverness,Outfall WP26c,33959,,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,1067,No,No,,,1046,27,40,21
May 30 2017,Week 4 Calgary,Country Hills,Inlet WP31B,34824,,23184,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,87,No,No,,,more than 2419.6,36,3,60
,,Country Hills,Outfall Wp31A,34825,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,17,No,No,,,more than 2419.6,1,3,<10
,,Country Hills,Outfall WP31E,34826,,21216.6,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,17,No,No,,,more than 2419.6,7,2,10
,,Country Hills,Outfall WP31D,34827,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,138,No,No,,,more than 2419.6,1,1,<10
,,Country Hills,Outfall WP31C,34828,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,227,No,No,,,more than 2419.6,41,18,40
,,McCall Lake,Outfall ML2,34829,,18616.2,22036.2,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1721,No,No,,,more than 2419.6,308,70,170
,,McCall Lake,Inlet PR60,34830,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,232,No,No,,,53,1,<1,<10
,,McCall Lake,Outfall ML1,34831,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,463,No,No,,,299,48,37,48
,,McCall Lake,Inlet 3/4,34832,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,79,No,No,,,47,2,<10,3
,,Inverness,Outfall WP26B,34833,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,176,Not tested,Not tested,,,more than 2419.6,<1,<10,21
,,Inverness,Outfalls/Inlet,34834,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,180,No,No,,,165,1,<10,8
,,Inverness,Outfall WP26D,34835,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,391,Not tested,Not tested,,,107,<1,6,10
,,Inverness,Outfall WP26C,34836,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,232,Not tested,Not tested,,,187,<1,<1,<10
June 1 2017,,Inverness,outfalls/inlet,35445,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,197,Not tested,Not tested,,,131,<1,6,<10
,,inverness,Outfall WP26B,35446,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,278,No,No,,,210,1,3,10
,,McCall Lake,Outfall ML1,35447,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,23370,not detected,not detected,102,No,No,,,76,2,2,<10
,,Country Hills,Outfall WP3LE,35448,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,2720,No,No,,,more than 2419.6,8,3,<10
,,mcCall Lake,Inlet PR60,35449,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,106,No,No,,,205,18,3,<10
,,inverness,Outfall WP26D,35450,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,623,Not tested,Not tested,,,180,<1,3,<10
,,country Hills,Outfall WP31D,35451,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,109,No,No,,,more than 2419.6,18,6,10
,,country Hills,Inlet WP31B,35452,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,73,No,No,,,more than 2419.6,79,8,100
,,inverness,Outfall WP26D,35453,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,62,Not tested,Not tested,,,141,<1,7,10
,,country Hills,Outfall WP31A,35454,,not detected,not detected,not detected,not detected,7276.8,not detected,not detected,not detected,not detected,not detected,98,No,No,,,more than 2419.6,5,1,20
,,mcCall Lake,Inlet 3/4,35455,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,32,Not tested,Not tested,,,50,<1,4,<10
,,mcCall Lake,Outfall ML2,35456,,17561.4,19235.4,not detected,not detected,not detected,not detected,not detected,19216.8,not detected,not detected,5704,No,No,,,more than 2419.6,219,51,350
,,country Hills,Outfall WP31C,35457,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,265,No,No,,,more than 2419.6,42,20,10
June 5 2017,Week 5 Calgary,Country Hills,Inlet WP31B,36642,,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,238,No,No,,,more than 2419.6,8,20,10
,,Country Hills,Outfall WP31A,36643,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1992,not detected,not detected,105,No,No,,,more than 2419.6,7,7,<10
,,Country Hills,WP31E,36644,,DNQ,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,356,No,No,,,More than 2419.6,13,23,20
,,Country Hills,Outfall WP31D,36645,,not detected,DNQ,not detected,DNQ,not detected,not detected,DNQ,not detected,not detected,not detected,8041,No,No,,,more than 2419.6,326,51,>600
,,Country Hills,Outfall WP31C,36646,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,7410,not detected,not detected,610,No,Yes-CT 24,,,more than 2419.6,201,51,170
,,McCall Lake,Outfall ML2,36647,,10740,not detected,not detected,not detected,not detected,not detected,not detected,24156,not detected,not detected,28126,No,No,,,more than 2419.6,238,49,>600
,,McCall Lake,Inlet PR60,36648,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,177,No,No,,,488,8,2,<10
,,McCall Lake,Outfall ML1,36649,,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,163,No,No,,,157,2,6,<10
,,McCall Lake,Inlet 3/4,36650,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,189,No,No,,,435,18,16,<10
,,Inverness,Outfall WP26B,36651,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,28,No,No,,,more than 2419.6,1,51,<10
,,Inverness,Outfalls/inlet,36652,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,42,No,No,,,more than 2419.6,1,51,>10 **
,,Inverness,Outfall WP26D,36653,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,136,No,No,,,225,5,51,10
,,Inverness,Outfall WP26C,36654,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,14,No,No,,,more than 2419.6,5,51,10
June 8 2017,,Country Hills,Outfall WP31C,37388,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,12954,not detected,not detected,3887,No,No,,,more than 2419.6,248,83,230
,,Country Hills,Inlet WP31B,37389,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1841,Not tested,not tested,,,more than 2419.6,<1,24,<10
,,McCall Lake,Outfall ML2,37390,,22140,3366,not detected,not detected,not detected,not detected,not detected,9528,not detected,not detected,6527,No,No,,,more than 2419.6,178,>201,170
